TEAM_ID,TEAM_NAME,YEAR,WIN_PCT,FG_PCT,REB,AST_TOV_RAT,PTS,OPP_PPG,HOME_WIN_PCT,PLAYOFF,TOP3_PPG,TOP3_P14,OFF_BENCH_PPG,BENCH_P30
1610612758,Kings,2007,0.463,0.464,40.1,1.186335403726708,102.5,104.8,0.6341463414634146,0,18.892609990874778,1,33.98780487804878,1
1610612758,Kings,2008,0.207,0.447,39.1,1.279220779220779,100.6,109.3,0.2682926829268293,0,15.687473215450261,1,17.29268292682927,0
1610612758,Kings,2009,0.305,0.456,42.6,1.3666666666666667,100.0,104.4,0.43902439024390244,0,15.202751992498827,1,30.682926829268293,1
1610612758,Kings,2010,0.293,0.449,43.9,1.2670807453416146,99.4,104.7,0.2682926829268293,0,15.204110839687123,1,31.536585365853657,1
1610612758,Kings,2011,0.333,0.436,42.9,1.340277777777778,98.8,104.4,0.48484848484848486,0,17.750661375661377,1,22.829268292682926,0
1610612758,Kings,2012,0.341,0.447,40.6,1.4246575342465757,100.2,105.1,0.4878048780487805,0,15.391777561397815,1,30.024390243902438,1
1610612758,Kings,2013,0.341,0.447,44.5,1.243421052631579,100.5,103.4,0.4146341463414634,0,21.06896310523071,1,19.975609756097562,0
1610612758,Kings,2014,0.354,0.455,44.2,1.2453987730061349,101.3,105.0,0.43902439024390244,0,19.096636918512754,1,36.951219512195124,1
1610612758,Kings,2015,0.402,0.464,44.2,1.5123456790123455,106.6,109.1,0.43902439024390244,0,19.35959805959806,1,37.573170731707314,1
1610612758,Kings,2016,0.39,0.461,41.1,1.5410958904109588,102.8,106.7,0.4146341463414634,0,10.417175333901676,0,32.609756097560975,1
1610612758,Kings,2017,0.329,0.45,40.9,1.5766423357664237,98.8,105.8,0.34146341463414637,0,12.67034451469383,1,39.30487804878049,1
1610612758,Kings,2018,0.476,0.464,45.4,1.8955223880597012,114.2,115.3,0.5853658536585366,0,17.361731262815272,1,33.4390243902439,1
1610612758,Kings,2019,0.431,0.462,42.6,1.6413793103448275,110.1,112.1,0.45714285714285713,0,18.27995642701525,1,35.1219512195122,1
1610612758,Kings,2020,0.431,0.481,41.4,1.9029850746268655,113.7,117.4,0.4444444444444444,0,19.279747450218554,1,28.341463414634145,0
1610612758,Kings,2021,0.366,0.46,42.9,1.680851063829787,110.3,115.8,0.3902439024390244,0,17.026020984665053,1,29.890243902439025,0
1610612758,Kings,2022,0.585,0.494,42.5,2.022222222222222,120.7,118.1,0.5609756097560976,1,19.709207560256633,1,38.63414634146341,1
1610612764,Bullets,1984,0.488,0.479,41.5,1.6346153846153846,105.5,105.8,0.6829268292682927,1,17.314197039372125,1,37.51219512195122,1
1610612764,Bullets,1985,0.476,0.463,42.7,1.2987804878048783,103.0,104.8,0.6341463414634146,1,18.20333139083139,1,31.0609756097561,1
1610612764,Bullets,1986,0.512,0.454,44.1,1.339622641509434,106.0,107.3,0.6585365853658537,1,19.741871560707178,1,33.829268292682926,1
1610612764,Bullets,1987,0.463,0.468,43.0,1.3550295857988166,105.5,106.3,0.6097560975609756,1,19.357221152082186,1,33.86585365853659,1
1610612764,Bullets,1988,0.488,0.464,44.0,1.5923566878980893,108.3,110.4,0.7317073170731707,0,18.682962487519614,1,35.08536585365854,1
1610612764,Bullets,1989,0.378,0.475,44.5,1.8493150684931507,107.7,109.9,0.4878048780487805,0,20.064915572232646,1,40.08536585365854,1
